id,label,vmag,src,ra,dec,epoch,pmra,pmdec,plx,rv,hip,tyc,hr
Gaia DR3 3616702663297487104,TYC 5549-1263-1,9.52,G,204.714214148,-10.898894791,2016.0,-0.7690703253625171,-15.252265890535192,4.930813245084335,9.512675,,5549-1263-1,
Gaia DR3 3606428620489080320,Gaia DR3 3606428620489080320,8.93,G,204.719360507,-14.581599028,2016.0,36.977087100737286,-70.39791604004432,11.490146653071186,28.379303,,,
Gaia DR3 3606916077802581248,TYC 5552-313-1,9.14,G,204.730134258,-13.804756895,2016.0,-69.53387359950965,0.5890202367823019,2.1354309000027336,-13.066273,,5552-313-1,
Gaia DR3 3606506960692587136,TYC 5552-157-1,9.58,G,204.735839976,-14.294556224,2016.0,-12.473453186892502,-16.257719696207797,2.260446158364881,6.2225733,,5552-157-1,
Gaia DR3 3610399708595830784,TYC 5549-1137-1,9.44,G,204.748179486,-11.928447275,2016.0,-23.267614736111515,9.467061704633187,6.267437010999271,4.4864473,,5549-1137-1,
Gaia DR3 3616483551245807488,HIP 66596,9.46,G,204.763392326,-11.418386348,2016.0,-4.5921438085611666,4.189167106461656,1.7252266706423047,-21.8275,66596,5549-791-1,
Gaia DR3 3616794884835307008,HIP 66600,8.47,G,204.779415515,-10.390290575,2016.0,10.143528122672517,-20.030044182241458,2.8145665757803617,-24.444197,66600,5549-418-1,
Gaia DR3 3632552497073401728,TYC 4972-1418-1,9.05,G,204.813643552,-5.690253898,2016.0,-5.57419458152361,3.984767332624374,3.219012906846368,0.0,,4972-1418-1,
Gaia DR3 3610392531705907328,Gaia DR3 3610392531705907328,7.75,G,204.824360109,-12.092330106,2016.0,10.386228246280908,-45.130753236766424,3.8350764009372282,4.9625115,,,
Gaia DR3 3616687922969775488,TYC 5549-1119-1,8.58,G,204.830086048,-11.065326288,2016.0,-18.96918097966399,3.4699360956401932,1.9894304916214334,-14.552793,,5549-1119-1,
Gaia DR3 3605630478126462848,HIP 66619,7.59,G,204.833569222,-15.208708754,2016.0,-15.963189908474932,-15.978011779831945,4.160649329509526,-2.0387986,66619,6122-492-1,
Gaia DR3 3617772488111292672,HIP 66623,8.21,G,204.843609124,-9.345398898,2016.0,-32.678023810313796,4.736941713429749,1.4061952826553943,50.037838,66623,5546-967-1,
Gaia DR3 3605478986040028544,HIP 66636,7.92,G,204.891288857,-15.616199113,2016.0,-91.97613080541743,-26.56055775370511,6.99491393692627,-31.905664,66636,6122-254-1,
Gaia DR3 3616910952031464064,HIP 66638,7.99,G,204.893961807,-10.113873423,2016.0,3.1858977276677183,2.551819639853483,3.500048731521103,-12.982664,66638,5549-234-1,
Gaia DR3 3603700525982167040,TYC 6122-148-1,9.49,G,204.924933944,-16.658820944,2016.0,2.046064304360547,-19.580425041675817,2.432042706812532,-2.8955703,,6122-148-1,
Gaia DR3 3616891607498760960,HIP 66646,8.44,G,204.933033583,-10.247606554,2016.0,-24.264583002167697,9.03975741857235,3.287037228180086,-22.266447,66646,5549-624-1,
Gaia DR3 3605235169336614400,TYC 6122-424-1,9.65,G,204.949621667,-16.134271604,2016.0,-22.79391922112145,8.43253745317606,1.7832177934519862,-50.25832,,6122-424-1,
Gaia DR3 3616735614286859520,TYC 5549-320-1,9.4,G,204.963671128,-10.686408217,2016.0,-135.7275727361559,4.985340720581412,13.630295788564789,-18.80465,,5549-320-1,
Gaia DR3 3618102788276201984,HIP 66659,8.93,G,204.974211797,-9.284832264,2016.0,-4.014952696504179,5.894856427663875,2.678267398411067,-17.75861,66659,5546-1016-1,
Gaia DR3 3605208643618551936,HIP 66663,6.7,G,204.993805529,-16.4465759,2016.0,-4.682543891182469,-8.918863680395162,4.7952494852786955,23.004478,66663,6122-64-1,
Gaia DR3 3633926753464638592,HIP 66675,9.56,G,205.027997694,-4.183966641,2016.0,-385.2222772241968,481.3071099235656,66.20098000547034,27.676985,66675,4970-1243-1,
Gaia DR3 6293738736464031872,TYC 6126-779-1,9.15,G,205.052697704,-17.483988985,2016.0,-58.705325752940716,-17.033633135899475,5.271842175061729,8.941633,,6126-779-1,
Gaia DR3 3607266242191063424,TYC 5552-1189-1,9.46,G,205.057603658,-12.918478138,2016.0,-14.001891882818322,19.66794695572255,2.101280984563785,16.605223,,5552-1189-1,
Gaia DR3 3607323210637422336,TYC 5552-1179-1,9.54,G,205.067358097,-12.70556598,2016.0,6.185159388229954,-25.157377057712775,5.143071659018724,15.054448,,5552-1179-1,
Gaia DR3 3618527126749447808,HIP 66695,9.21,G,205.071510514,-8.01954129,2016.0,-2.6275402898024147,-8.094376901850913,6.270617792014269,-9.663773,66695,5546-551-1,
Gaia DR3 6293665240983630080,TYC 6126-853-1,9.75,G,205.103588022,-17.809654977,2016.0,-10.289739918287118,-9.526842671094304,2.0782258898940884,1.3026621,,6126-853-1,
Gaia DR3 3632674856397196800,HIP 66706,8.06,G,205.105021623,-5.245119656,2016.0,-19.642139186096145,26.027869567484277,6.714381114218174,-10.516204,66706,4973-173-1,
Gaia DR3 6293764540627556224,HIP 66717,8.48,G,205.13523126,-17.343788266,2016.0,-46.01706333689859,-13.45763402283345,9.262757687298878,-0.49317068,66717,6126-693-1,
Gaia DR3 3607266753291238272,TYC 5552-1140-1,9.4,G,205.136998447,-12.938414527,2016.0,-35.20032339223818,-14.91433762135184,1.8718208018113585,-39.53065,,5552-1140-1,
Gaia DR3 3618209303465133440,TYC 5546-991-1,9.32,G,205.146857873,-8.642971112,2016.0,-25.850953519364474,15.091867320659087,1.9184140180679452,-24.566856,,5546-991-1,
Gaia DR3 3605268120325711232,HIP 66743,9.13,G,205.197901338,-15.914214185,2016.0,5.3001363340462335,-1.212452612180598,2.205077659796126,-15.62205,66743,6122-445-1,
Gaia DR3 6293670601102816128,HIP 66749,7.88,G,205.211175998,-17.792722322,2016.0,-36.67162817320296,-11.215340057641228,11.2685125396846,-7.8880963,66749,6126-843-1,
